Transactie_Datum,Product,Prijs,Betaalwijze,Naam,Plaats,Staat,Land,Account_Aangemaakt,Laatste_Login
18/1/2009 06:27,Product1,1200,Mastercard,Janine,Corbin City,NJ,United States,27/10/2005 19:22,21/1/2009 17:10
20/1/2009 11:58,Product1,1200,Mastercard,Debora,Lakeside,CA,United States,1/11/2008 23:14,21/1/2009 17:25
20/1/2009 16:32,Product1,1200,Visa,Vishpala,Margate,FL,United States,2/1/2008 09:52,21/1/2009 19:05
1/1/2009 07:09,Product1,1200,Amex,Emer,South Palm Beach,FL,United States,28/2/2005 05:40,21/1/2009 19:14
21/1/2009 14:55,Product1,1200,Diners,john,New York,NY,United States,21/1/2009 10:23,21/1/2009 20:34
7/1/2009 22:29,Product1,1200,Mastercard,lailani,Anchorage,AK,United States,7/1/2009 13:23,21/1/2009 22:30
11/1/2009 22:22,Product2,3600,Visa,STEPHANIE,Mona Vale,New South Wales,Australia,30/12/2008 17:48,21/1/2009 22:33
21/1/2009 14:25,Product1,1200,Visa,Tricia,Castricum,Noord-Holland,Netherlands,28/12/2007 15:28,22/1/2009 00:38
18/1/2009 16:50,Product1,1200,Visa,Celina,North Brunswick,NJ,United States,18/1/2009 16:25,22/1/2009 01:17
21/1/2009 12:08,Product2,3600,Visa,Rosemary,Jacksonville,FL,United States,21/1/2009 11:39,22/1/2009 06:13
22/1/2009 06:41,Product1,1200,Visa,Patrick,Baytown,TX,United States,22/1/2009 04:32,22/1/2009 06:54
12/1/2009 09:23,Product1,1200,Mastercard,Jacob,Winter Haven,FL,United States,10/1/2009 14:55,22/1/2009 07:59
22/1/2009 08:23,Product1,1200,Visa,elisabeth,Gonzaga Univ,WA,United States,22/1/2009 07:55,22/1/2009 08:14
3/1/2009 06:41,Product2,3600,Visa,ayelet,Malmo,Skane,Sweden,7/8/2008 09:24,22/1/2009 11:24
1/1/2009 12:20,Product2,3600,Visa,seemab,San Pawl tat-Targa,,Malta,17/9/2005 03:32,22/1/2009 12:00
4/1/2009 22:00,Product2,3600,Amex,Lucien,Wiesbaden,Hessen,Germany,4/1/2009 11:32,22/1/2009 12:21
21/1/2009 02:15,Product1,1200,Visa,Kevin,London,England,United Kingdom,8/1/2009 02:50,22/1/2009 13:46
1/1/2009 14:22,Product1,1200,Mastercard,Liban,Stavanger,Rogaland,Norway,19/6/2008 10:48,22/1/2009 14:38
16/1/2009 01:07,Product2,3600,Diners,Lesley,Cork,Cork,Ireland,14/1/2009 04:10,22/1/2009 15:06
20/1/2009 08:51,Product1,1200,Visa,Marie,Winchester,MA,United States,23/7/2008 14:59,22/1/2009 18:08
4/1/2009 09:02,Product1,1200,Visa,Charlene,Calgary,Alberta,Canada,13/12/2008 19:20,22/1/2009 19:27
6/1/2009 08:34,Product1,1200,Visa,Orit,Dallas,TX,United States,5/1/2009 15:00,22/1/2009 21:41
8/1/2009 04:16,Product1,1200,Visa,Alan,Malahide,Dublin,Ireland,18/4/2006 13:26,23/1/2009 02:21
23/1/2009 03:33,Product2,3600,Mastercard,Anja Langer,Saint Paul,MN,United States,23/1/2009 03:00,23/1/2009 03:00
6/1/2009 04:18,Product1,1200,Visa,Lina,Edinburgh,Scotland,United Kingdom,6/1/2009 03:38,23/1/2009 03:22
23/1/2009 03:30,Product1,1200,Amex,Larry,Naarden,Noord-Holland,Netherlands,23/1/2009 03:27,23/1/2009 03:40
10/1/2009 04:04,Product1,1200,Visa,Jessica,Oldenburg,Lower Saxony,Germany,20/12/2008 08:41,23/1/2009 05:28
5/1/2009 02:57,Product3,7500,Visa,Marion,Rennes,Brittany,France,29/12/2008 03:16,23/1/2009 07:29
21/1/2009 14:15,Product1,1200,Amex,Eric,Ely,NV,United States,21/1/2009 13:56,23/1/2009 10:35
21/1/2009 06:39,Product1,1200,Amex,Miriane,Norfolk,VA,United States,30/7/2007 21:10,23/1/2009 12:48
19/1/2009 08:14,Product1,1200,Visa,Jeff,Houston,TX,United States,4/1/2009 12:39,23/1/2009 12:52
23/1/2009 08:00,Product1,1200,Diners,christina,Chepel,Budapest,Hungary,22/1/2009 09:55,23/1/2009 12:59
22/1/2009 23:35,Product1,1200,Mastercard,Shannon,Buffalo Grove,IL,United States,22/1/2009 23:23,23/1/2009 22:05
14/1/2009 03:09,Product1,1200,Mastercard,Angela,Newburgh,Scotland,United Kingdom,25/4/2007 05:08,24/1/2009 02:12
16/1/2009 01:51,Product1,1200,Visa,Angela,Vienna,Vienna,Austria,16/1/2009 01:38,24/1/2009 05:39
1/1/2009 06:29,Product1,1200,Mastercard,Elaine,Vicenza,Veneto,Italy,3/8/2007 02:48,24/1/2009 05:51
21/1/2009 07:59,Product1,1200,Visa,Helen,Mechanics Grove,PA,United States,7/4/2008 17:15,24/1/2009 06:01
23/1/2009 07:37,Product2,3600,Amex,Fatisha,Miami,FL,United States,23/1/2009 06:32,24/1/2009 06:54
18/1/2009 14:39,Product1,1200,Visa,Nina,Silver Spring,MD,United States,5/1/2009 15:43,24/1/2009 07:31
24/1/2009 09:01,Product2,3600,Visa,Barbara,Kirriemuir,Scotland,United Kingdom,24/1/2009 08:02,24/1/2009 08:02
15/1/2009 01:41,Product1,1200,Diners,Karen,Roquefort,Provence-Alpes-Cote d'Azur,France,14/1/2009 04:13,24/1/2009 08:36
17/1/2009 07:23,Product1,1200,Visa,Georgina,Portland,OR,United States,28/11/2007 10:05,24/1/2009 08:54
23/1/2009 11:37,Product1,1200,Diners,Kellie,Staten Island,NY,United States,23/1/2009 10:42,24/1/2009 08:59
19/1/2009 15:02,Product1,1200,Mastercard,Terry,San Antonio,TX,United States,19/1/2009 14:43,24/1/2009 10:26
11/1/2009 07:10,Product2,3600,Visa,LAURIE,Guildford,England,United Kingdom,7/3/2006 05:47,24/1/2009 14:54
10/1/2009 03:28,Product1,1200,Visa,frauke,Horten,Vestfold,Norway,24/11/2008 15:50,24/1/2009 15:10
7/1/2009 19:03,Product2,3600,Mastercard,Cindy,Englewood,CO,United States,17/12/2007 19:55,24/1/2009 19:19
17/1/2009 14:02,Product1,1200,Visa,Simone,San Antonio,TX,United States,7/12/2005 19:48,24/1/2009 21:29
25/1/2009 00:09,Product1,1200,Visa,Hilde,Princeville,HI,United States,20/6/2008 22:08,25/1/2009 00:12
9/1/2009 14:27,Product1,1200,Visa,Leah,Castleknock,Dublin,Ireland,14/6/2007 13:14,25/1/2009 00:57
9/1/2009 14:32,Product1,1200,Visa,Laine,Castleknock,Dublin,Ireland,14/6/2007 13:14,25/1/2009 00:57
11/1/2009 15:59,Product1,1200,Visa,kirsten,Bishops Stortford,England,United Kingdom,17/1/2006 08:51,25/1/2009 03:03
6/1/2009 14:38,Product2,3600,Mastercard,Elizabeth,Den Haag,Zuid-Holland,Netherlands,14/5/2007 12:48,25/1/2009 03:13
6/1/2009 09:52,Product1,1200,Mastercard,Anna,Lafayette,CA,United States,3/1/2009 15:01,25/1/2009 10:19
1/1/2009 09:21,Product1,1200,Diners,Babs,Blackpool,England,United Kingdom,1/1/2009 08:05,25/1/2009 10:52
3/1/2009 07:58,Product1,1200,Mastercard,Gerlinde,Hellerup,Kobenhavn,Denmark,2/1/2009 12:27,25/1/2009 11:13
11/1/2009 11:36,Product1,1200,Mastercard,Hollyn,London,England,United Kingdom,14/10/2008 14:23,25/1/2009 11:16
13/1/2009 14:53,Product1,1200,Visa,leiser,N Java,NY,United States,13/1/2009 13:22,25/1/2009 11:33
1/1/2009 10:06,Product2,3600,Mastercard,Irene,Munich,Bayern,Germany,1/1/2009 09:13,25/1/2009 11:37
16/1/2009 05:07,Product1,1200,Amex,Lisa,Brulon,Pays de la Loire,France,6/8/2007 07:48,25/1/2009 11:42
6/1/2009 16:37,Product1,1200,Visa,Ann,Austin,TX,United States,28/12/2008 12:31,25/1/2009 12:17
18/1/2009 17:21,Product1,1200,Mastercard,Nichol Jane,Midland Park,NJ,United States,11/1/2009 20:59,25/1/2009 14:00
13/1/2009 15:18,Product1,1200,Amex,Beatriz,Centerport,NY,United States,13/1/2009 14:46,25/1/2009 14:01
24/1/2009 08:21,Product1,1200,Mastercard,corina,Neustift am Walde,Vienna,Austria,19/7/2005 12:42,25/1/2009 14:22
24/1/2009 08:25,Product1,1200,Mastercard,manon,Neustift am Walde,Vienna,Austria,19/7/2005 12:42,25/1/2009 14:22
18/1/2009 13:06,Product1,1200,Diners,Isabelle,Shorewood,MN,United States,18/1/2009 08:44,25/1/2009 14:49
22/1/2009 18:44,Product1,1200,Visa,Lynne,Southlake,TX,United States,22/1/2009 17:24,25/1/2009 15:02
8/1/2009 08:58,Product1,1200,Mastercard,Doug,Huntington,NY,United States,8/1/2009 08:22,25/1/2009 17:39
4/1/2009 09:54,Product1,1200,Mastercard,AMY,The Woodlands,TX,United States,30/12/2008 20:41,25/1/2009 18:23
13/1/2009 20:22,Product1,1200,Visa,Kim,Kelowna,British Columbia,Canada,2/8/2008 14:28,25/1/2009 19:25
9/1/2009 10:22,Product1,1200,Mastercard,HELIDA,White House,TN,United States,5/1/2009 14:49,25/1/2009 19:35
5/1/2009 12:28,Product1,1200,Visa,Cameron,Rungsted,Frederiksborg,Denmark,5/1/2009 12:02,25/1/2009 23:22
26/1/2009 03:43,Product1,1200,Mastercard,Wendy,Lake Mahopac,NY,United States,26/1/2009 03:10,26/1/2009 03:10
26/1/2009 03:49,Product2,3600,Mastercard,Jane,Biot,Provence-Alpes-Cote d'Azur,France,1/3/2008 00:00,26/1/2009 03:18
11/1/2009 13:16,Product2,3600,Visa,shelby,Plantation,FL,United States,11/1/2009 12:20,26/1/2009 03:42
22/1/2009 15:32,Product1,1200,Mastercard,Tara,Killiney,Dublin,Ireland,27/2/2007 11:35,26/1/2009 04:32
9/1/2009 14:25,Product1,1200,Amex,James,Guer,Brittany,France,7/4/2008 00:00,26/1/2009 05:32
21/1/2009 11:28,Product1,800,Amex,Heloise,Arlington,VA,United States,25/9/2005 20:26,26/1/2009 06:23
1/1/2009 14:19,Product1,1200,Mastercard,Gabriel,Three Hills,Alberta,Canada,21/5/2008 11:39,26/1/2009 07:17
26/1/2009 04:30,Product1,1200,Visa,Jodie,Great Falls,Virginia,United States,26/1/2009 00:00,26/1/2009 07:48
7/1/2009 04:45,Product1,1200,Amex,Jeremy,London,England,United Kingdom,7/1/2009 04:30,26/1/2009 08:01
11/1/2009 12:12,Product1,1200,Visa,Helga,Clontarf,Dublin,Ireland,30/11/2005 12:50,26/1/2009 10:00
26/1/2009 10:24,Product1,1200,Visa,Eleanor,Vancouver,British Columbia,Canada,1/12/2008 18:30,26/1/2009 10:12
26/1/2009 08:58,Product1,1200,Diners,Miss,London,England,United Kingdom,26/1/2009 08:46,26/1/2009 11:14
7/1/2009 17:51,Product1,1200,Visa,Marie,Dickerson,MD,United States,13/1/2006 09:38,26/1/2009 11:35
18/1/2009 20:16,Product1,1200,Mastercard,Lisa,Princeton,NJ,United States,18/1/2009 19:47,26/1/2009 13:07
13/1/2009 09:51,Product1,1200,Mastercard,Priska,Calgary,Alberta,Canada,4/1/2009 23:43,26/1/2009 17:24
24/1/2009 18:43,Product1,1200,Visa,Katrine,North Tustin,CA,United States,11/1/2009 13:33,26/1/2009 21:29
5/1/2009 00:46,Product1,1200,Amex,Lisa,Gurgaon,Haryana,India,2/1/2009 03:03,27/1/2009 00:17
9/1/2009 01:12,Product1,1200,Visa,Sabrina,Rambouillet,Ile-de-France,France,18/6/2008 06:35,27/1/2009 02:56
26/1/2009 06:25,Product1,1200,Visa,prof,Gladwyne,PA,United States,19/1/2009 06:38,27/1/2009 03:58
21/1/2009 16:57,Product1,1200,Mastercard,KeithMichelle,Houston,TX,United States,21/1/2009 16:37,27/1/2009 04:43
5/1/2009 05:33,Product1,1200,Mastercard,Kim,London,England,United Kingdom,8/12/2005 13:22,27/1/2009 04:49
27/1/2009 05:10,Product1,1200,Visa,anissa,Slough,England,United Kingdom,15/1/2009 10:07,27/1/2009 04:51
7/1/2009 08:00,Product1,1200,Mastercard,john,Glan-Munchweiler,Rhineland-Palatinate,Germany,26/5/2005 07:00,27/1/2009 06:30
20/1/2009 07:08,Product2,3600,Visa,Miye,Downingtown,PA,United States,19/1/2009 08:06,27/1/2009 06:38
27/1/2009 02:26,Product1,1200,Diners,Heidi,MT Pleasant,TX,United States,27/1/2009 02:16,27/1/2009 06:41
5/1/2009 06:14,Product1,1200,Mastercard,T,Veigy-Foncenex,Rhone-Alpes,France,5/1/2009 04:52,27/1/2009 07:01
13/1/2009 08:11,Product2,3600,Visa,Daniele,Katy,TX,United States,27/5/2008 11:01,27/1/2009 07:49
10/1/2009 09:18,Product1,1200,Diners,luisa,Gorey,,Jersey,9/5/2006 10:43,27/1/2009 07:51
8/1/2009 18:52,Product1,1200,Visa,Nadine,Belgrade,MT,United States,7/1/2009 15:30,27/1/2009 09:40
12/1/2009 10:06,Product1,1200,Mastercard,Tina,Calgary,Alberta,Canada,10/1/2009 14:15,27/1/2009 14:26
1/1/2009 19:25,Product1,1200,Diners,Damali,Toronto,Ontario,Canada,8/1/2008 20:41,27/1/2009 14:59
27/1/2009 15:28,Product1,1200,Visa,Katherine,Corrales,NM,United States,17/1/2009 17:52,27/1/2009 15:17
2/1/2009 18:43,Product1,1200,Visa,Kathryn,Cork,Cork,Ireland,22/12/2008 15:39,27/1/2009 15:43
8/1/2009 18:41,Product1,1200,Diners,Veronique,Tenafly,NJ,United States,9/12/2007 17:59,27/1/2009 18:12
4/1/2009 18:34,Product1,1200,Visa,Erica,Leesburg,VA,United States,4/1/2009 16:53,27/1/2009 18:37
25/1/2009 08:32,Product1,1200,Visa,L,Alcona,Ontario,Canada,17/9/2007 17:41,27/1/2009 19:53
23/1/2009 22:19,Product1,1200,Mastercard,Diana,Kuala Lumpur,Kuala Lumpur,Malaysia,23/1/2009 22:10,27/1/2009 19:54
7/1/2009 10:03,Product1,1200,Mastercard,Emma,Sydney,New South Wales,Australia,1/12/2008 06:09,27/1/2009 20:18
18/1/2009 03:46,Product1,1200,Visa,Marina,Nerang,Queensland,Australia,18/1/2009 00:54,27/1/2009 23:52
28/1/2009 00:40,Product1,1200,Mastercard,Natalie,Bryceville,FL,United States,27/1/2009 22:04,28/1/2009 00:01
2/1/2009 15:18,Product1,1200,Diners,Brenda,Saffron Walden,England,United Kingdom,1/9/2004 02:08,28/1/2009 01:26
18/1/2009 13:59,Product1,1200,Diners,Nita,Sutton,Dublin,Ireland,1/12/2005 19:57,28/1/2009 04:07
16/1/2009 09:54,Product1,1200,Mastercard,Marian,Durban,KwaZulu-Natal,South Africa,3/8/2008 18:20,28/1/2009 06:26
28/1/2009 07:07,Product1,1200,Visa,Kevin,Berkeswell,England,United Kingdom,28/1/2009 06:57,28/1/2009 07:18
28/1/2009 07:31,Product1,1200,Visa,cari,Dryden,VA,United States,28/1/2009 07:22,28/1/2009 07:34
18/1/2009 12:32,Product1,1200,Visa,Cassandra,Santry,Dublin,Ireland,14/12/2008 14:26,28/1/2009 07:41
13/1/2009 14:05,Product1,1200,Amex,Christof and Heidi,Barcelona,Catalonia,Spain,9/1/2009 07:54,28/1/2009 07:45
28/1/2009 07:49,Product1,1200,Visa,Ina,Fayetteville,NC,United States,28/1/2009 07:45,28/1/2009 07:47
28/1/2009 03:07,Product1,1200,Visa,Lisa,Anse Comeau,Quebec,Canada,26/1/2009 11:47,28/1/2009 08:08
12/1/2009 15:16,Product1,1200,Visa,Camille and Carmen,Thorlakshofn,,Iceland,12/1/2009 11:41,28/1/2009 08:44
6/1/2009 11:17,Product2,3600,Visa,Trina,Overland,KS,United States,21/2/2008 08:53,28/1/2009 09:23
23/1/2009 09:49,Product1,1200,Visa,Ginger,King City,Ontario,Canada,23/1/2009 08:18,28/1/2009 09:43
24/1/2009 04:01,Product1,1200,Visa,breon,Leighton Buzzard,England,United Kingdom,7/1/2006 10:56,28/1/2009 10:12
25/1/2009 18:21,Product1,1200,Visa,Marion,Umea,Vasterbotten,Sweden,25/1/2009 16:35,28/1/2009 10:19
15/1/2009 10:51,Product1,1200,Mastercard,Pia,Sola,Rogaland,Norway,11/1/2009 08:54,28/1/2009 10:39
2/1/2009 05:14,Product1,1200,Visa,Dr. Donald,Stockton-on-Tees,England,United Kingdom,1/1/2005 06:03,28/1/2009 11:07
9/1/2009 10:35,Product2,3600,Visa,Jenna and Paul,Senatobia,MS,United States,8/1/2009 14:02,28/1/2009 11:08
4/1/2009 10:16,Product1,1200,Mastercard,Rebecca,Berlin,Berlin,Germany,28/12/2008 10:50,28/1/2009 11:09
2/1/2009 12:16,Product1,1200,Mastercard,Monique,Waldorf,MD,United States,11/12/2008 06:16,28/1/2009 12:07
28/1/2009 12:31,Product1,1200,Diners,lilia,Brooklyn,NY,United States,28/1/2009 12:21,28/1/2009 12:30
14/1/2009 12:07,Product1,1200,Mastercard,Lainey,Lakeville,MN,United States,13/1/2009 22:28,28/1/2009 12:37
16/1/2009 07:20,Product2,3600,Mastercard,Jag,Saint-Cergues,Rhone-Alpes,France,15/1/2009 04:53,28/1/2009 12:43
6/1/2009 09:55,Product1,1200,Mastercard,Charlene,Vancouver,British Columbia,Canada,7/10/2008 14:55,28/1/2009 13:17
7/1/2009 12:55,Product1,1200,Amex,Fiona,Stamford,CT,United States,5/1/2009 06:26,28/1/2009 13:24
19/1/2009 12:14,Product1,1200,Mastercard,burt,Rathfarnham,Dublin,Ireland,10/5/2008 07:07,28/1/2009 13:28
13/1/2009 15:19,Product2,3600,Visa,Maggie,Paris,Ile-de-France,France,27/6/2007 04:41,28/1/2009 14:11
18/1/2009 08:56,Product1,1200,Mastercard,Stanford,Howell,MI,United States,30/1/2008 13:16,28/1/2009 14:37
4/1/2009 17:54,Product1,1200,Amex,ruth,Encinitas,CA,United States,1/1/2009 10:12,28/1/2009 15:13
5/1/2009 13:46,Product1,1200,Visa,Courtney,Atchison,KS,United States,11/11/2008 14:19,28/1/2009 17:10
5/1/2009 10:49,Product2,3600,Amex,Courtney,Mililani,HI,United States,23/8/2007 00:00,28/1/2009 18:13
12/1/2009 18:24,Product1,1200,Diners,Anthony,Victor,NY,United States,18/12/2008 07:14,28/1/2009 18:19
18/1/2009 04:01,Product1,1200,Visa,Eleanor,Fairbanks,AK,United States,6/1/2009 00:18,28/1/2009 23:56
16/1/2009 10:58,Product1,1200,Visa,GAIA,Soro,Vestsjalland,Denmark,27/7/2007 07:22,29/1/2009 03:16
13/1/2009 08:20,Product1,1200,Mastercard,Zane,Warlingham,England,United Kingdom,4/3/2005 05:51,29/1/2009 03:25
12/1/2009 01:42,Product1,1200,Mastercard,Beate,Hamburg,Hamburg,Germany,7/1/2009 07:56,29/1/2009 04:33
28/1/2009 13:07,Product1,1200,Amex,BALA,Accokeek,MD,United States,29/11/2007 05:56,29/1/2009 04:40
29/1/2009 05:43,Product1,1200,Visa,Mrs,Sunnyvale,CA,United States,29/1/2009 05:18,29/1/2009 05:18
29/1/2009 05:30,Product1,1200,Diners,Vanessa,Ithaca,NY,United States,29/1/2009 04:49,29/1/2009 06:56
13/1/2009 18:08,Product1,1200,Amex,Amanda,Houston,TX,United States,13/1/2009 17:02,29/1/2009 07:34
9/1/2009 15:24,Product1,1200,Mastercard,alex,Farmingtn Hls,MI,United States,9/1/2009 13:59,29/1/2009 08:05
23/1/2009 15:33,Product1,1200,Mastercard,T,Brooklyn,NY,United States,23/1/2009 14:18,29/1/2009 11:02
29/1/2009 12:28,Product1,1200,Mastercard,Alva and Martin,Great Falls,VA,United States,21/5/2007 14:57,29/1/2009 12:31
13/1/2009 11:31,Product1,1200,Visa,Anett,Gosport,England,United Kingdom,9/1/2009 11:30,29/1/2009 12:48
29/1/2009 10:09,Product2,3600,Mastercard,Jacqui,Scottsdale,AZ,United States,29/1/2009 09:59,29/1/2009 12:58
29/1/2009 15:08,Product1,1200,Visa,KERRY,Sunnyvale,CA,United States,29/1/2009 14:04,29/1/2009 14:04
4/1/2009 05:12,Product1,1200,Visa,DeeDee,Songnae-dong,Soul-t'ukpyolsi,South Korea,30/12/2008 08:40,29/1/2009 16:41
22/1/2009 22:16,Product2,3600,Mastercard,leanne,Clyde Hill,WA,United States,17/1/2009 23:28,29/1/2009 16:51
5/1/2009 19:26,Product1,1200,Visa,katie,Ruschlikon,Zurich,Switzerland,5/1/2009 19:14,30/1/2009 01:06
11/1/2009 12:22,Product1,1200,Visa,Marina,Minneapolis,MN,United States,11/1/2009 07:18,30/1/2009 02:10
2/1/2009 09:31,Product1,1200,Visa,camilla,Chicago,IL,United States,2/1/2009 09:09,30/1/2009 05:35
5/1/2009 11:21,Product1,1200,Visa,pirunkit,Petworth,England,United Kingdom,5/1/2009 05:46,30/1/2009 05:54
17/1/2009 09:49,Product1,1200,Diners,Kathrin,Abu Dhabi,Abu Zaby,United Arab Emirates,27/2/2008 20:02,30/1/2009 08:45
28/1/2009 01:38,Product1,1200,Mastercard,Kate,Stockholm,Stockholm,Sweden,16/4/2007 12:58,30/1/2009 09:18
19/1/2009 10:32,Product1,1200,Mastercard,Maie,Queen Creek,AZ,United States,6/1/2009 17:57,30/1/2009 10:41
26/1/2009 12:05,Product1,1250,Mastercard,verena,Queen Creek,AZ,United States,6/1/2009 17:57,30/1/2009 10:41
7/1/2009 18:53,Product1,1200,Visa,Marie-Christine,Durham,NC,United States,29/12/2008 09:59,30/1/2009 10:46
26/1/2009 11:38,Product1,1200,Mastercard,Gabriella,Austin,TX,United States,26/1/2009 07:16,30/1/2009 13:15
8/1/2009 13:19,Product1,1200,Mastercard,valerie et nicolas,Glenn Dale,MD,United States,8/1/2009 05:31,30/1/2009 17:40
11/1/2009 14:56,Product1,1200,Visa,Nicole,Aardal,Sogn og Fjordane,Norway,5/1/2009 05:51,31/1/2009 04:21
30/1/2009 20:36,Product1,1200,Visa,Renee,Edinburg,TX,United States,30/1/2009 20:05,31/1/2009 04:47
1/1/2009 08:09,Product1,1200,Mastercard,Nicole,South Melbourne,Victoria,Australia,30/12/2008 00:55,31/1/2009 05:40
17/1/2009 11:09,Product1,1200,Mastercard,Joachim,Fortaleza,Ceara,Brazil,17/1/2009 10:46,31/1/2009 06:42
31/1/2009 07:22,Product1,1200,Visa,Monica,Weston,CT,United States,29/2/2008 17:34,31/1/2009 06:43
31/1/2009 09:12,Product1,1200,Visa,Nanci,Reading,England,United Kingdom,28/8/2008 10:22,31/1/2009 09:08
31/1/2009 08:56,Product1,1200,Mastercard,Laura,Coconut Grove,FL,United States,31/1/2009 08:03,31/1/2009 09:22
31/1/2009 09:00,Product1,1200,Visa,ciara and mike,London,England,United Kingdom,31/1/2009 08:32,31/1/2009 10:07
11/1/2009 14:07,Product1,1200,Visa,Sarah,San Francisco,CA,United States,11/1/2009 13:08,31/1/2009 10:20
1/1/2009 12:25,Product2,3600,Mastercard,Anne-line,Zug,Zug,Switzerland,29/3/2005 23:14,31/1/2009 10:58
31/1/2009 11:14,Product2,3600,Mastercard,Ulrika,Scottsdale,AZ,United States,31/1/2009 11:10,31/1/2009 11:10
2/1/2009 09:57,Product1,1200,Amex,leigh,Potomac Falls,VA,United States,20/2/2005 17:20,31/1/2009 11:24
4/1/2009 13:20,Product1,1200,Mastercard,Nuria,Superior,CO,United States,4/1/2009 12:08,31/1/2009 13:17
22/1/2009 12:32,Product1,1200,Mastercard,Tejal,London,England,United Kingdom,2/1/2008 09:51,31/1/2009 14:43
18/1/2009 06:09,Product1,1200,Mastercard,Ignacio,Engleside,VA,United States,21/5/2007 18:56,31/1/2009 15:33
8/1/2009 00:04,Product1,1200,Visa,ZOE,New Plymouth City,Taranaki,New Zealand,7/1/2009 23:34,31/1/2009 17:47
24/1/2009 07:14,Product1,1200,Mastercard,nihan,Roanoke,VA,United States,2/3/2008 07:35,31/1/2009 19:18
24/1/2009 11:05,Product1,1200,Visa,alan,Norcross,GA,United States,30/7/2007 15:16,31/1/2009 19:31
6/1/2009 15:12,Product1,1200,Amex,lydia,Sandy Plains,GA,United States,23/9/2006 08:42,31/1/2009 20:48
24/1/2009 17:06,Product1,1200,Visa,Tracey,Saint Catharines,Ontario,Canada,24/1/2009 15:51,31/1/2009 21:10
3/1/2009 09:58,Product1,1200,Visa,Anja,Gainesville,VA,United States,19/10/2008 08:27,31/1/2009 22:19
9/1/2009 16:35,Product1,1200,Diners,Jennifer,Nordstrand,Oslo,Norway,29/12/2005 09:26,1/2/2009 04:18
12/1/2009 14:50,Product1,1200,Visa,Holly,Arlington,MA,United States,12/1/2009 09:54,1/2/2009 07:36
7/1/2009 13:49,Product1,1200,Diners,megan,West Hills,CA,United States,7/1/2009 12:36,1/2/2009 08:20
9/1/2009 19:41,Product1,1200,Mastercard,Tarah,San Jose,CA,United States,5/1/2009 18:02,1/2/2009 09:18
26/1/2009 04:53,Product1,1200,Visa,Gerardo,London,England,United Kingdom,26/1/2009 04:12,1/2/2009 09:48
23/1/2009 21:41,Product1,1200,Visa,Joanne,Oak Park,MI,United States,26/12/2008 11:00,1/2/2009 09:51
6/1/2009 16:07,Product1,1200,Visa,Margaret,Terrell Hills,TX,United States,21/12/2008 12:21,1/2/2009 10:06
10/1/2009 07:55,Product1,1200,Visa,Laura,Jumeira,Dubayy,United Arab Emirates,7/1/2009 09:47,1/2/2009 10:18
28/1/2009 20:44,Product1,1200,Visa,Whitney,Falmouth,VA,United States,28/1/2009 19:36,1/2/2009 11:33
9/1/2009 03:38,Product1,1200,Visa,Ravinder,Lurgan,Northern Ireland,United Kingdom,3/6/2008 04:22,1/2/2009 11:53
19/1/2009 08:52,Product1,1200,Visa,Pam,Richmond,TX,United States,6/1/2009 15:24,1/2/2009 11:53
15/1/2009 07:26,Product1,1200,Mastercard,Celina,Den Haag,Zuid-Holland,Netherlands,14/1/2009 00:00,1/2/2009 13:17
30/1/2009 19:12,Product1,1200,Diners,Heather,Ooltewah,TN,United States,30/1/2009 18:54,1/2/2009 13:51
5/1/2009 12:41,Product1,1200,Mastercard,Kathryn,Pacific Beach,CA,United States,5/1/2009 11:50,1/2/2009 14:28
28/1/2009 20:59,Product1,1200,Visa,Michele,Austin,TX,United States,28/1/2009 09:40,1/2/2009 15:00
10/1/2009 21:36,Product1,1200,Visa,Craig,Seattle,WA,United States,10/8/2008 16:47,1/2/2009 15:27
25/1/2009 19:59,Product1,1200,Visa,Kim,Seattle,WA,United States,13/8/2008 18:27,1/2/2009 16:04
7/1/2009 08:03,Product1,1200,Amex,maria,Ottawa,Ontario,Canada,17/4/2005 22:28,1/2/2009 18:52
21/1/2009 09:07,Product1,1200,Visa,Elaine,Vienna,VA,United States,2/4/2008 09:59,1/2/2009 21:07
23/1/2009 14:43,Product1,1200,Visa,Madison,Torbay,Auckland,New Zealand,18/1/2009 11:34,1/2/2009 21:31
5/1/2009 13:07,Product1,1200,Visa,Amanda,Shenfield,England,United Kingdom,2/1/2009 14:27,1/2/2009 22:27
6/1/2009 03:39,Product1,1200,Visa,Krista,Bergen,Hordaland,Norway,20/9/2005 01:58,2/2/2009 00:08
15/1/2009 15:26,Product1,1200,Visa,Sarah,Bolton,England,United Kingdom,15/1/2009 08:16,2/2/2009 00:53
23/1/2009 04:47,Product1,1200,Mastercard,Sarah,Sandymount,Dublin,Ireland,16/1/2006 08:48,2/2/2009 02:12
12/1/2009 10:05,Product2,3600,Amex,Pamela,Bellinzona,Ticino,Switzerland,3/9/2007 13:23,2/2/2009 05:16
30/1/2009 05:13,Product1,1200,Visa,Christine,Antwerpen,Antwerpen,Belgium,3/1/2006 13:57,2/2/2009 05:45
14/1/2009 10:32,Product3,7500,Mastercard,Diana,Campinas,Sao Paulo,Brazil,5/11/2008 07:03,2/2/2009 05:54
12/1/2009 08:13,Product1,1200,Amex,mary,Nacka,Stockholm,Sweden,8/3/2006 04:32,2/2/2009 06:01
